species,model,RMSE,Rsquared,MAE,AIC
Erigeron_canadensis,m3,0.46609343169707507,0.8001511797234528,0.36498865422229926,80.07703241391432
Erigeron_canadensis,m4,0.47446794901962586,0.7930686585970539,0.35701779004326045,81.06121452618078
Erigeron_canadensis,m2,0.4918486778264775,0.7783533644687438,0.3583608010883032,83.21950287948388
Erigeron_canadensis,m5,0.5055012754780758,0.7688254988840884,0.38318461332565007,81.75224493271867
Erigeron_canadensis,m1,0.6059202776989586,0.6621924795362392,0.501912406069075,110.02201464457593
Phytolacca_americana,m4,0.6724298166696704,0.7500742666974463,0.5201578976101675,124.13435096406346
Phytolacca_americana,m2,0.6805915350466457,0.7415049713990333,0.5206419535595185,124.54357608614123
Phytolacca_americana,m3,0.7048752196832215,0.7262022874133478,0.5361873719262888,131.82320636341828
Phytolacca_americana,m5,0.7133646618835929,0.7236253425582584,0.5593543070353361,123.0853059631404
Phytolacca_americana,m1,0.9213592432098096,0.528589918518197,0.7007727635775135,161.78577141554672
Solidago_gigantea,m4,0.4035559747174953,0.8457343773255709,0.3052937814595467,56.136746907649474
Solidago_gigantea,m2,0.4079712413292861,0.84236418057759,0.3201888227977763,58.56325518446113
Solidago_gigantea,m3,0.4101458277903558,0.8407266280066673,0.3169735048016358,58.718878214055806
Solidago_gigantea,m5,0.42172188275997935,0.8328365991530233,0.3230204905815748,60.00770367502878
Solidago_gigantea,m1,0.533429438236622,0.7299170889519379,0.42234559763420165,93.12999377541614
Sporobolus_indicus,m2,0.4722863068074461,0.7277421436472704,0.3677019276033839,79.56663121769824
Sporobolus_indicus,m4,0.5208917205788237,0.674412058139268,0.393174827441787,86.11715494526558
Sporobolus_indicus,m3,0.5460483770645074,0.6442999583613969,0.41612822976594754,91.74124725392697
Sporobolus_indicus,m5,0.5499749454659083,0.6426007054402134,0.43093873163698637,91.87090435259259
Sporobolus_indicus,m1,0.6102316818405171,0.5458673992433333,0.503053031974535,110.19086382561252
