Species,N,M,I,n,Mean,SD,Minimum,Maximum
Sporobolus_indicus,4,No microbes,Native alone,3,50.6,9.5,39.8,56.6
Sporobolus_indicus,4,No microbes,Native + invasive,3,45,7.8,38.7,53.7
Sporobolus_indicus,4,Microbes,Native alone,3,33.6,14.9,21.7,50.4
Sporobolus_indicus,4,Microbes,Native + invasive,3,30.8,2.5,29.1,33.6
Sporobolus_indicus,8,No microbes,Native alone,3,126,54.7,79.4,186.3
Sporobolus_indicus,8,No microbes,Native + invasive,3,94.7,75.5,39,180.6
Sporobolus_indicus,8,Microbes,Native alone,3,93,17.9,78.7,113
Sporobolus_indicus,8,Microbes,Native + invasive,3,79.3,4.3,74.9,83.5
Sporobolus_indicus,16,No microbes,Native alone,3,308.4,78.2,233.4,389.5
Sporobolus_indicus,16,No microbes,Native + invasive,3,166.1,76.3,90.3,242.9
Sporobolus_indicus,16,Microbes,Native alone,3,248.8,65.9,205,324.6
Sporobolus_indicus,16,Microbes,Native + invasive,3,282.9,102.4,197,396.2
Sporobolus_indicus,32,No microbes,Native alone,3,477.7,135.9,361.3,627.1
Sporobolus_indicus,32,No microbes,Native + invasive,3,335.2,70.4,270.9,410.4
Sporobolus_indicus,32,Microbes,Native alone,3,330,120.1,224.8,460.9
Sporobolus_indicus,32,Microbes,Native + invasive,3,334.4,125,215.9,465.1
Sporobolus_indicus,64,No microbes,Native alone,3,499.5,123.3,406.9,639.4
Sporobolus_indicus,64,No microbes,Native + invasive,3,399.8,81.4,305.9,450.4
Sporobolus_indicus,64,Microbes,Native alone,3,270.3,138.8,115,382.2
Sporobolus_indicus,64,Microbes,Native + invasive,3,257.4,135.5,111.3,379
